timestamp,model,config_id,fold,hidden_dim,num_layers,heads,dropout,lr,weight_decay,train_acc,train_f1,train_mae,train_mse,train_rmse,val_acc,val_f1,val_mae,val_mse,val_rmse,test_acc,test_f1,test_mae,test_mse,test_rmse
2025-12-23T12:39:51.922571,GAT,0,0,64,2,2,0.0,0.001,0.0,0.33946026863681894,0.3086346072319707,0.8179011771014482,1.1326240685779825,1.0642481235961765,0.33634711630123926,0.3046813680423084,0.8214519780743565,1.1370501668255482,1.0663255444870239,0.3395456359964013,0.30839870364234034,0.8174321820315898,1.131387818087572,1.0636671556871407
2025-12-23T12:39:53.741705,GAT,0,1,64,2,2,0.0,0.001,0.0,0.38164749516833557,0.3482623418665182,0.8515980799952335,1.3180892303223717,1.1480806723930037,0.3791557435653003,0.34615394363812824,0.8556512154432793,1.3252651334604386,1.1512016041773216,0.37563974999851046,0.341801246494612,0.8602768128980749,1.3321099386912458,1.154170671387575
2025-12-23T12:39:54.351022,GAT,0,2,64,2,2,0.0,0.001,0.0,0.2999716990265955,0.25885248164660846,0.7872399848068459,0.9616633524737285,0.9806443557547907,0.30143291229742614,0.25977120010399907,0.7865973546234509,0.962657888465205,0.981151307630584,0.30071855003038644,0.2596170337946799,0.7865858744741954,0.961194723483359,0.9804053873186127
2025-12-23T12:39:55.670892,GAT,1,0,64,2,2,0.0,0.001,0.0005,0.36591432965543436,0.32474091116034903,0.9269645975847264,1.5127224520650477,1.2299278239250657,0.3656160629170639,0.323575899648645,0.9281607483317446,1.5157143708293612,1.2311435216210014,0.3650462645749796,0.32455375127873987,0.9284373715286673,1.5154046437359612,1.231017726816296
2025-12-23T12:39:56.345177,GAT,1,1,64,2,2,0.0,0.001,0.0005,0.3284638099954942,0.29637915759162836,1.0228233305156382,1.725397611537903,1.3135439130603526,0.3274398236415634,0.29581739048775313,1.0261111773117255,1.7332131792183032,1.3165155446170407,0.32811801786235617,0.295474607366402,1.0229803561746673,1.7251771042487145,1.3134599743611202
2025-12-23T12:39:57.289912,GAT,1,2,64,2,2,0.0,0.001,0.0005,0.3262543661699101,0.3052548531308658,0.8760454603004372,1.2806451132411318,1.1316559164521396,0.323552192564347,0.3031928207042369,0.8790365824594852,1.2842141325071497,1.1332317205704885,0.3237407500089372,0.30210686820661237,0.8779894898652272,1.281449969613556,1.1320114706192494
2025-12-23T12:39:59.095170,GAT,2,0,64,2,2,0.0,0.0003,0.0,0.3016597093181302,0.29250492335067696,0.943461147459792,1.4337028610156364,1.1973733173140433,0.29879647283126787,0.2893698252622429,0.944873093422307,1.4322122259294565,1.1967506949776368,0.3011159504048523,0.29194643000445203,0.9450783191034265,1.437466858119984,1.198944059629132
2025-12-23T12:40:00.887953,GAT,2,1,64,2,2,0.0,0.0003,0.0,0.3087163598854551,0.29833000729621123,0.9279178970808927,1.4011864110135883,1.1837172006073022,0.3064823641563394,0.2959254640269246,0.9317206863679695,1.4081267874165873,1.186645181769423,0.3063590702995132,0.29592890409424205,0.9320896811825619,1.408987184146712,1.1870076596832524
2025-12-23T12:40:02.680159,GAT,2,2,64,2,2,0.0,0.0003,0.0,0.33170230355028263,0.30956692253081647,0.870671999165866,1.2754206045981633,1.1293452105526296,0.33315955672068637,0.31042325007552574,0.8662714489990467,1.265133460438513,1.124781516757149,0.32890644550101883,0.30663496825960984,0.8729012500148953,1.2765166410467237,1.1298303594109709
2025-12-23T12:40:03.270887,GAT,3,0,64,2,2,0.0,0.0003,0.0005,0.31521071270308815,0.29647713752104105,0.9331238060482384,1.4297928435508918,1.1957394547103026,0.3150172783603432,0.2959323892924255,0.9325548141086749,1.427698999046711,1.1948635901418667,0.3154928234796442,0.2966136395710743,0.9347886963101544,1.4353517358897514,1.198061657799694
2025-12-23T12:40:05.097955,GAT,3,1,64,2,2,0.0,0.0003,0.0005,0.34423048994380745,0.31452688779729066,0.8754938724440589,1.3149425972197915,1.1467094650432565,0.3385069113441373,0.3093677505166686,0.882879528122021,1.3256524070543374,1.15136979596233,0.341386686050322,0.31157734493604355,0.8819404310082877,1.3285946651255072,1.152646808491442
2025-12-23T12:40:06.450766,GAT,3,2,64,2,2,0.0,0.0003,0.0005,0.32438501240029494,0.3035931956423174,0.950212629681763,1.499407913845879,1.224503129373657,0.32271806482364157,0.3016327991419992,0.956312559580553,1.5143738083889418,1.2305989632650198,0.32386587066099454,0.30348724993947385,0.9518285489579237,1.5032173881957602,1.2260576610403608
2025-12-23T12:40:07.400846,GAT,4,0,64,2,2,0.3,0.001,0.0,0.2907191080691589,0.2604445741988739,0.8201578157525294,1.041911663395906,1.0207407424982633,0.2891146329837941,0.25778308868940153,0.8214817683508103,1.0426745710200191,1.0211143770508861,0.29033180607606096,0.259463699974006,0.8200120353433945,1.0406997181823057,1.0201469100979064
2025-12-23T12:40:08.821677,GAT,4,1,64,2,2,0.3,0.001,0.0,0.3313311561363069,0.30908712463996507,0.9953824555654444,1.648809678968947,1.2840598424407434,0.33086570543374644,0.30952833249856093,1.0001191611058151,1.662088894184938,1.2892202659689065,0.328499335672877,0.3063789003344918,1.0008162584381461,1.6594474466601923,1.288195422542788
2025-12-23T12:40:10.102942,GAT,4,2,64,2,2,0.3,0.001,0.0,0.33712045043233463,0.314981806507329,0.865358119027936,1.2703152579484773,1.1270826313755693,0.3383281696854147,0.3166554750870627,0.8617582221163013,1.261931005719733,1.1233570250457925,0.3337801928049667,0.311078980736129,0.8686411897186572,1.2734839547659051,1.1284874632736976
