model,fold,num_layers,hidden_dim,heads,lr,test_mse,test_mae,test_rmse,rounded_acc
GCN,0,3,64,,0.1,0.07918915152549744,0.22361834347248077,0.2814056707415425,0.6875814199447632
GCN,0,3,64,,0.001,0.07927227020263672,0.22146381437778473,0.28155331680276247,0.6875814199447632
GCN,0,3,64,,0.01,0.07882930338382721,0.22211410105228424,0.28076556659217883,0.6875814199447632
GCN,0,3,64,,0.1,0.07928665727376938,0.2229962944984436,0.2815788651049105,0.6875814199447632
GCN,0,4,16,,0.001,0.08000881224870682,0.21964535117149353,0.2828582900476965,0.6875814199447632
GCN,0,4,16,,0.01,0.07886234670877457,0.222270205616951,0.2808244054721287,0.6875814199447632
GCN,0,4,16,,0.1,0.07921497523784637,0.2235015481710434,0.2814515504271497,0.6875814199447632
GCN,0,4,16,,0.001,0.08187168836593628,0.2213796079158783,0.28613229172174237,0.6166449189186096
GCN,0,4,16,,0.01,0.07880979031324387,0.2219097763299942,0.2807308146841808,0.6872090697288513
GCN,0,4,16,,0.1,0.07920286059379578,0.22352303564548492,0.28143002788223537,0.6875814199447632
GCN,0,4,16,,0.001,0.07870260626077652,0.2248762845993042,0.2805398479018204,0.6857196092605591
GCN,0,4,16,,0.01,0.07900039106607437,0.22254355251789093,0.2810700821255695,0.6875814199447632
GCN,0,4,16,,0.1,0.07920105010271072,0.22353307902812958,0.281426811271973,0.6875814199447632
GCN,0,4,16,,0.001,0.08045214414596558,0.22251641750335693,0.2836408717832562,0.6386147737503052
GCN,0,4,16,,0.01,0.07887185364961624,0.22256828844547272,0.2808413318043059,0.6875814199447632
GCN,0,4,16,,0.1,0.07926816493272781,0.22310516238212585,0.28154602631315506,0.6875814199447632
GCN,0,4,32,,0.001,0.07899338006973267,0.22438177466392517,0.2810576098769301,0.6875814199447632
GCN,0,4,32,,0.01,0.0788532942533493,0.2226189225912094,0.2808082873658634,0.6875814199447632
GCN,0,4,32,,0.1,0.07919131219387054,0.22360298037528992,0.2814095097786685,0.6875814199447632
GCN,0,4,32,,0.001,0.07951266318559647,0.22413413226604462,0.2819798985488087,0.6875814199447632
GCN,0,4,32,,0.01,0.07886730879545212,0.22242522239685059,0.2808332401897114,0.6875814199447632
GCN,0,4,32,,0.1,0.07913526147603989,0.22402667999267578,0.28130990291143304,0.6875814199447632
GCN,0,4,32,,0.001,0.07913964241743088,0.22401197254657745,0.2813176894854479,0.6875814199447632
GCN,0,4,32,,0.01,0.07880684733390808,0.222789466381073,0.28072557299595646,0.6875814199447632
GCN,0,4,32,,0.1,0.07914900034666061,0.22391673922538757,0.2813343213094709,0.6875814199447632
GCN,0,4,32,,0.001,0.07943261414766312,0.2222597748041153,0.28183792177005407,0.6875814199447632
GCN,0,4,32,,0.01,0.07876095920801163,0.22241243720054626,0.28064382980570163,0.6868367195129395
GCN,0,4,32,,0.1,0.07925987243652344,0.22315531969070435,0.2815312992129355,0.6875814199447632
GCN,0,4,64,,0.001,0.07925935834646225,0.22155062854290009,0.2815303861867529,0.6875814199447632
GCN,0,4,64,,0.01,0.07869227975606918,0.22247309982776642,0.28052144259587214,0.687022864818573
GCN,0,4,64,,0.1,0.0792880728840828,0.22298851609230042,0.2815813787949814,0.6875814199447632
GCN,0,4,64,,0.001,0.07895644009113312,0.2221958190202713,0.2809918861660121,0.6875814199447632
GCN,0,4,64,,0.01,0.07896676659584045,0.22209995985031128,0.28101026065935825,0.6875814199447632
GCN,0,4,64,,0.1,0.07923375070095062,0.22331875562667847,0.28148490314926417,0.6875814199447632
GCN,0,4,64,,0.001,0.07905113697052002,0.22202648222446442,0.2811603403229553,0.6875814199447632
GCN,0,4,64,,0.01,0.0788511261343956,0.22207334637641907,0.2808044268425902,0.6875814199447632
GCN,0,4,64,,0.1,0.07926788181066513,0.22310689091682434,0.2815455235138096,0.6875814199447632
GCN,0,4,64,,0.001,0.07900983840227127,0.2229621857404709,0.2810868876384512,0.6875814199447632
GCN,0,4,64,,0.01,0.07881521433591843,0.2222927361726761,0.280740475058226,0.6873952746391296
GCN,0,4,64,,0.1,0.07924384623765945,0.22325639426708221,0.28150283522135167,0.6875814199447632
GCN,1,2,16,,0.001,0.07570114731788635,0.2183026671409607,0.2751384148349451,0.6473654508590698
GCN,1,2,16,,0.01,0.07520844787359238,0.21636322140693665,0.27424158669609605,0.7106683850288391
GCN,1,2,16,,0.1,0.07469860464334488,0.2183603048324585,0.27331045469089704,0.7175572514533997
GCN,1,2,16,,0.001,0.08514532446861267,0.2130804806947708,0.2917967177139124,0.5283932089805603
GCN,1,2,16,,0.01,0.07443124800920486,0.21781624853610992,0.2728209083065388,0.7175572514533997
GCN,1,2,16,,0.1,0.0747736468911171,0.21843282878398895,0.2734477041247871,0.7175572514533997
GCN,1,2,16,,0.001,0.09772747755050659,0.2384786158800125,0.31261394330788667,0.494321346282959
GCN,1,2,16,,0.01,0.07435902208089828,0.21705962717533112,0.27268850742357714,0.7147644758224487
GCN,1,2,16,,0.1,0.07438991218805313,0.21790607273578644,0.2727451414563661,0.7153230309486389
GCN,1,2,16,,0.001,0.10418999940156937,0.27336564660072327,0.32278475707748244,0.4325079023838043
GCN,1,2,16,,0.01,0.0743667259812355,0.2171262800693512,0.2727026328828446,0.7132749557495117
GCN,1,2,16,,0.1,0.07480975985527039,0.21876071393489838,0.27351372882411296,0.7175572514533997
GCN,1,2,32,,0.001,0.07545828074216843,0.21559397876262665,0.2746967068280369,0.6760379672050476
GCN,1,2,32,,0.01,0.07435714453458786,0.21738174557685852,0.27268506474427207,0.7149506211280823
GCN,1,2,32,,0.1,0.07475820183753967,0.21793334186077118,0.2734194613364961,0.7175572514533997
GCN,1,2,32,,0.001,0.07436263561248779,0.21791529655456543,0.27269513309277776,0.7143920660018921
GCN,1,2,32,,0.01,0.07433787733316422,0.2176213562488556,0.2726497337852436,0.7158815860748291
GCN,1,2,32,,0.1,0.07478620111942291,0.2184627652168274,0.27347065860787134,0.7175572514533997
GCN,1,2,32,,0.001,0.08033543080091476,0.216862753033638,0.2834350557022098,0.5449636578559875
GCN,1,2,32,,0.01,0.07425148785114288,0.2170175462961197,0.2724912619720913,0.7132749557495117
GCN,1,2,32,,0.1,0.07481195032596588,0.21887680888175964,0.2735177331106082,0.7175572514533997
GCN,1,2,32,,0.001,0.07571263611316681,0.22051902115345,0.2751592922529908,0.6821820735931396
GCN,1,2,32,,0.01,0.07427145540714264,0.21695441007614136,0.27252789840150793,0.7175572514533997
GCN,1,2,32,,0.1,0.0749083012342453,0.22005954384803772,0.27369380927278075,0.7175572514533997
GCN,1,2,64,,0.001,0.07454019784927368,0.21836723387241364,0.2730205081111558,0.7175572514533997
GCN,1,2,64,,0.01,0.07429283112287521,0.21701017022132874,0.27256711306185716,0.7142059206962585
GCN,1,2,64,,0.1,0.07480105012655258,0.21870967745780945,0.27349780643828314,0.7175572514533997
GCN,1,2,64,,0.001,0.0746104046702385,0.2184063047170639,0.2731490521130148,0.7175572514533997
GCN,1,2,64,,0.01,0.07418013364076614,0.2167944312095642,0.27236030114678267,0.7151368260383606
GCN,1,2,64,,0.1,0.07477213442325592,0.21820712089538574,0.27344493855848917,0.7175572514533997
GCN,1,2,64,,0.001,0.07480418682098389,0.21964095532894135,0.27350354078326644,0.7175572514533997
GCN,1,2,64,,0.01,0.07421762496232986,0.21708866953849792,0.27242911915272544,0.71346116065979
GCN,1,2,64,,0.1,0.07486602663993835,0.21958979964256287,0.2736165686502525,0.7175572514533997
GCN,1,2,64,,0.001,0.07433728128671646,0.2178487777709961,0.27264864072046363,0.7149506211280823
GCN,1,2,64,,0.01,0.07433222979307175,0.21775570511817932,0.2726393768205021,0.7138335108757019
GCN,1,2,64,,0.1,0.07482968270778656,0.21912916004657745,0.27355014660530996,0.7175572514533997
GCN,1,3,16,,0.001,0.08001558482646942,0.22949008643627167,0.28287026147417726,0.5421708822250366
GCN,1,3,16,,0.01,0.0742802694439888,0.2174759954214096,0.27254406881087834,0.7166262865066528
GCN,1,3,16,,0.1,0.07487192749977112,0.21965906023979187,0.2736273515198565,0.7175572514533997
GCN,1,3,16,,0.001,0.07552522420883179,0.21573936939239502,0.2748185295951344,0.6764103174209595
GCN,1,3,16,,0.01,0.0744619071483612,0.21832096576690674,0.27287709165182994,0.7175572514533997
GCN,1,3,16,,0.1,0.07480504363775253,0.21877208352088928,0.27350510715113263,0.7175572514533997
GCN,1,3,16,,0.001,0.07493165135383606,0.21485017240047455,0.2737364633252867,0.7175572514533997
GCN,1,3,16,,0.01,0.07423508167266846,0.21703623235225677,0.2724611562639131,0.7173710465431213
GCN,1,3,16,,0.1,0.07483818382024765,0.21924293041229248,0.27356568465406556,0.7175572514533997
GCN,1,3,16,,0.001,0.0771477222442627,0.22648853063583374,0.27775478797720604,0.5983988046646118
GCN,1,3,16,,0.01,0.07445287704467773,0.21759045124053955,0.27286054504944046,0.7175572514533997
GCN,1,3,16,,0.1,0.07485959678888321,0.2195127159357071,0.2736048186507014,0.7175572514533997
GCN,1,3,32,,0.001,0.07433563470840454,0.21705244481563568,0.2726456211062348,0.7175572514533997
GCN,1,3,32,,0.01,0.07429857552051544,0.21719945967197418,0.2725776504420629,0.7145782709121704
GCN,1,3,32,,0.1,0.07480886578559875,0.2188306301832199,0.2735120944046145,0.7175572514533997
GCN,1,3,32,,0.001,0.07470552623271942,0.2189697027206421,0.2733231169014422,0.7175572514533997
GCN,1,3,32,,0.01,0.07427961379289627,0.21700577437877655,0.2725428659732195,0.7175572514533997
GCN,1,3,32,,0.1,0.07484956830739975,0.21938909590244293,0.2735864914563578,0.7175572514533997
GCN,1,3,32,,0.001,0.07466062158346176,0.21957214176654816,0.2732409588320568,0.7175572514533997
GCN,1,3,32,,0.01,0.07423645257949829,0.21762192249298096,0.2724636720362887,0.7169986963272095
GCN,1,3,32,,0.1,0.07479510456323624,0.21902254223823547,0.27348693673233504,0.7175572514533997
GCN,1,3,32,,0.001,0.07452014833688736,0.21784710884094238,0.27298378768140674,0.7175572514533997
GCN,1,3,32,,0.01,0.07427720725536346,0.21711796522140503,0.27253845096676443,0.7173710465431213
GCN,1,3,32,,0.1,0.07482074946165085,0.21900489926338196,0.2735338177660138,0.7175572514533997
GCN,1,3,64,,0.001,0.07428501546382904,0.21672622859477997,0.27255277555700846,0.7175572514533997
GCN,1,3,64,,0.01,0.07417081296443939,0.21720477938652039,0.2723431896788304,0.7132749557495117
GCN,1,3,64,,0.1,0.07490147650241852,0.21998733282089233,0.2736813411659964,0.7175572514533997
GCN,1,3,64,,0.001,0.07428573817014694,0.2166522741317749,0.27255410136365027,0.7175572514533997
GCN,1,3,64,,0.01,0.07429422438144684,0.2184259444475174,0.2725696688581597,0.7112269401550293
GCN,1,3,64,,0.1,0.07485846430063248,0.219349205493927,0.2736027490736021,0.7175572514533997
GCN,1,3,64,,0.001,0.07452726364135742,0.2183491289615631,0.2729968198374432,0.7175572514533997
GCN,1,3,64,,0.01,0.07426676154136658,0.21768724918365479,0.2725192865493497,0.7156953811645508
GCN,1,3,64,,0.1,0.0748395025730133,0.21926023066043854,0.2735680949471508,0.7175572514533997
GCN,1,3,64,,0.001,0.07433714717626572,0.21741710603237152,0.27264839478028424,0.7175572514533997
GCN,1,3,64,,0.01,0.07423364371061325,0.21719564497470856,0.2724585174124921,0.7143920660018921
GCN,1,3,64,,0.1,0.07492312043905258,0.22021186351776123,0.2737208805317062,0.7175572514533997
GCN,1,4,16,,0.001,0.07434307783842087,0.21462315320968628,0.2726592705895416,0.7175572514533997
GCN,1,4,16,,0.01,0.07436048984527588,0.21756982803344727,0.27269119869419306,0.7175572514533997
GCN,1,4,16,,0.1,0.0748801976442337,0.21975387632846832,0.2736424631599301,0.7175572514533997
GCN,1,4,16,,0.001,0.07466598600149155,0.21888498961925507,0.2732507749330119,0.7175572514533997
GCN,1,4,16,,0.01,0.07429567724466324,0.21738174557685852,0.27257233396781716,0.7175572514533997
GCN,1,4,16,,0.1,0.07482913136482239,0.21912163496017456,0.2735491388486215,0.7175572514533997
GCN,1,4,16,,0.001,0.07916554808616638,0.19624640047550201,0.28136372915883523,0.717184841632843
GCN,1,4,16,,0.01,0.07438483089208603,0.21815255284309387,0.27273582619833064,0.7175572514533997
GCN,1,4,16,,0.1,0.07483093440532684,0.21914617717266083,0.27355243447157773,0.7175572514533997
GCN,1,4,16,,0.001,0.07513754069805145,0.21429939568042755,0.27411227753979106,0.7175572514533997
GCN,1,4,16,,0.01,0.0743669867515564,0.21785986423492432,0.27270311100454353,0.7175572514533997
GCN,1,4,16,,0.1,0.07480203360319138,0.21872512996196747,0.27349960439311677,0.7175572514533997
GCN,1,4,32,,0.001,0.07534519582986832,0.2201840579509735,0.2744907937069444,0.7156953811645508
GCN,1,4,32,,0.01,0.07422343641519547,0.2172323316335678,0.2724397849345713,0.7175572514533997
GCN,1,4,32,,0.1,0.07480140030384064,0.21870648860931396,0.27349844662052586,0.7175572514533997
GCN,1,4,32,,0.001,0.07477642595767975,0.22050777077674866,0.27345278560965464,0.7175572514533997
GCN,1,4,32,,0.01,0.0742625817656517,0.21737228333950043,0.2725116176709751,0.7155091762542725
GCN,1,4,32,,0.1,0.07477489113807678,0.2182568907737732,0.27344997922486075,0.7175572514533997
GCN,1,4,32,,0.001,0.07449961453676224,0.21774397790431976,0.27294617516419284,0.7175572514533997
GCN,1,4,32,,0.01,0.07441544532775879,0.2183493971824646,0.2727919451299081,0.7168124914169312
GCN,1,4,32,,0.1,0.07486609369516373,0.21959049999713898,0.2736166911852487,0.7175572514533997
GCN,1,4,32,,0.001,0.07480158656835556,0.21887269616127014,0.2734987871423849,0.7175572514533997
GCN,1,4,32,,0.01,0.074208565056324,0.21682682633399963,0.27241249063933176,0.7175572514533997
GCN,1,4,32,,0.1,0.07477455586194992,0.21840564906597137,0.2734493661758058,0.7175572514533997
GCN,1,4,64,,0.001,0.07431256771087646,0.2175041139125824,0.2726033156637616,0.7175572514533997
GCN,1,4,64,,0.01,0.07419385015964508,0.2171415537595749,0.27238548081651687,0.7175572514533997
GCN,1,4,64,,0.1,0.07479210942983627,0.2185644507408142,0.2734814608521687,0.7175572514533997
GCN,1,4,64,,0.001,0.07433813810348511,0.21768556535243988,0.2726502119997069,0.7175572514533997
GCN,1,4,64,,0.01,0.07424052059650421,0.21732944250106812,0.27247113718062727,0.7175572514533997
GCN,1,4,64,,0.1,0.07509200274944305,0.22112107276916504,0.2740292005415537,0.7175572514533997
GCN,1,4,64,,0.001,0.07436294108629227,0.21819886565208435,0.2726956931935161,0.7175572514533997
GCN,1,4,64,,0.01,0.0742318406701088,0.21680544316768646,0.2724552085574963,0.7173710465431213
GCN,1,4,64,,0.1,0.07478422671556473,0.21842776238918304,0.27346704868331895,0.7175572514533997
GCN,1,4,64,,0.001,0.07435770332813263,0.21788538992404938,0.272686089355751,0.7175572514533997
GCN,1,4,64,,0.01,0.07421424984931946,0.21755024790763855,0.2724229246031241,0.7151368260383606
GCN,1,4,64,,0.1,0.07475604116916656,0.21788690984249115,0.27341551011083215,0.7175572514533997
GCN,2,2,16,,0.001,0.07981579005718231,0.2115119993686676,0.2825168845523791,0.6326568126678467
GCN,2,2,16,,0.01,0.07451705634593964,0.21810516715049744,0.2729781242992552,0.7112269401550293
GCN,2,2,16,,0.1,0.07458419352769852,0.21936413645744324,0.27310106833862535,0.7117854952812195
GCN,2,2,16,,0.001,0.10675274580717087,0.2921229898929596,0.3267303870275473,0.23086947202682495
GCN,2,2,16,,0.01,0.07454206794500351,0.21845996379852295,0.27302393291615207,0.7106683850288391
GCN,2,2,16,,0.1,0.07429772615432739,0.21811221539974213,0.2725760924115088,0.7101098299026489
GCN,2,2,16,,0.001,0.07468054443597794,0.21951477229595184,0.27327741296341695,0.7115992903709412
GCN,2,2,16,,0.01,0.07468768209218979,0.21884287893772125,0.27329047201135603,0.7119717001914978
GCN,2,2,16,,0.1,0.07454271614551544,0.21856723725795746,0.27302511998992957,0.7114131450653076
GCN,2,2,16,,0.001,0.07575777173042297,0.21540507674217224,0.2752412972837161,0.7115992903709412
GCN,2,2,16,,0.01,0.07471249997615814,0.21885789930820465,0.27333587392831943,0.7119717001914978
GCN,2,2,16,,0.1,0.07453252375125885,0.21887421607971191,0.2730064536806023,0.7117854952812195
GCN,2,2,32,,0.001,0.0748501867055893,0.21782229840755463,0.2735876216234742,0.7121578454971313
GCN,2,2,32,,0.01,0.07442678511142731,0.2179233878850937,0.27281272901282905,0.7102960348129272
GCN,2,2,32,,0.1,0.0746179148554802,0.21935950219631195,0.2731627991793176,0.7119717001914978
GCN,2,2,32,,0.001,0.07575896382331848,0.21826691925525665,0.2752434628166825,0.7119717001914978
GCN,2,2,32,,0.01,0.07451634109020233,0.2172871232032776,0.2729768141989395,0.7119717001914978
GCN,2,2,32,,0.1,0.07463234663009644,0.2189215123653412,0.2731892139710066,0.7119717001914978
GCN,2,2,32,,0.001,0.07516039162874222,0.21657545864582062,0.27415395606983717,0.7121578454971313
GCN,2,2,32,,0.01,0.0744849443435669,0.21738669276237488,0.2729193000569342,0.7115992903709412
GCN,2,2,32,,0.1,0.07458431273698807,0.21818311512470245,0.2731012865897707,0.7119717001914978
GCN,2,2,32,,0.001,0.07659026235342026,0.21866276860237122,0.27674945772922527,0.6376838088035583
GCN,2,2,32,,0.01,0.07432202994823456,0.21744206547737122,0.2726206704346436,0.7114131450653076
GCN,2,2,32,,0.1,0.07452380657196045,0.2184467613697052,0.27299048806132503,0.7119717001914978
GCN,2,2,64,,0.001,0.07478053122758865,0.21686413884162903,0.27346029186627563,0.7117854952812195
GCN,2,2,64,,0.01,0.0744084045290947,0.21738892793655396,0.27277903975396406,0.7075032591819763
GCN,2,2,64,,0.1,0.07465868443250656,0.22009128332138062,0.2732374140422694,0.7119717001914978
GCN,2,2,64,,0.001,0.07475052028894424,0.21877135336399078,0.2734054137886524,0.7117854952812195
GCN,2,2,64,,0.01,0.07440484315156937,0.2183348536491394,0.27277251172280786,0.7086203694343567
GCN,2,2,64,,0.1,0.07458437234163284,0.21833327412605286,0.273101395715278,0.7119717001914978
GCN,2,2,64,,0.001,0.07479497045278549,0.2184077650308609,0.2734866915460156,0.7117854952812195
GCN,2,2,64,,0.01,0.07446769624948502,0.21815021336078644,0.2728876989706297,0.7095512747764587
GCN,2,2,64,,0.1,0.07460975646972656,0.21917058527469635,0.27314786557783416,0.7119717001914978
GCN,2,2,64,,0.001,0.07451850175857544,0.2188507467508316,0.27298077177445196,0.7117854952812195
GCN,2,2,64,,0.01,0.07426945120096207,0.21794529259204865,0.2725242213106242,0.7061999440193176
GCN,2,2,64,,0.1,0.07468575239181519,0.22047366201877594,0.2732869414952262,0.7119717001914978
GCN,2,3,16,,0.001,0.09033829718828201,0.2265188843011856,0.3005632998026905,0.5229938626289368
GCN,2,3,16,,0.01,0.0747070163488388,0.21830548346042633,0.2733258428119061,0.7119717001914978
GCN,2,3,16,,0.1,0.07459025830030441,0.21859107911586761,0.27311217164437107,0.7119717001914978
GCN,2,3,16,,0.001,0.07520399242639542,0.21652190387248993,0.27423346335995435,0.7106683850288391
GCN,2,3,16,,0.01,0.07437029480934143,0.21845826506614685,0.2727091762470442,0.711040735244751
GCN,2,3,16,,0.1,0.07462025433778763,0.21866023540496826,0.27316708135825524,0.7119717001914978
GCN,2,3,16,,0.001,0.0749204084277153,0.2179202437400818,0.2737159265145441,0.7091789245605469
GCN,2,3,16,,0.01,0.07459308207035065,0.21893595159053802,0.2731173412113384,0.7119717001914978
GCN,2,3,16,,0.1,0.07463929802179337,0.21977543830871582,0.2732019363434186,0.7119717001914978
GCN,2,3,16,,0.001,0.07959508895874023,0.21431328356266022,0.28212601609695664,0.5933718085289001
GCN,2,3,16,,0.01,0.0746549591422081,0.21873153746128082,0.27323059700957375,0.7121578454971313
GCN,2,3,16,,0.1,0.07460203021764755,0.21885612607002258,0.273133722227131,0.7119717001914978
GCN,2,3,32,,0.001,0.07503627240657806,0.2152523696422577,0.2739274947984924,0.7121578454971313
GCN,2,3,32,,0.01,0.0744343176484108,0.21756219863891602,0.27282653398892637,0.7102960348129272
GCN,2,3,32,,0.1,0.07464257627725601,0.21983273327350616,0.2732079359704912,0.7119717001914978
GCN,2,3,32,,0.001,0.07487773150205612,0.21811427175998688,0.27363795698341287,0.7117854952812195
GCN,2,3,32,,0.01,0.07438890635967255,0.21826942265033722,0.2727432975522452,0.7102960348129272
GCN,2,3,32,,0.1,0.07465540617704391,0.21871717274188995,0.2732314150624776,0.7119717001914978
GCN,2,3,32,,0.001,0.07473070174455643,0.21794083714485168,0.2733691675089867,0.7119717001914978
GCN,2,3,32,,0.01,0.07444405555725098,0.21760301291942596,0.2728443797428325,0.7102960348129272
