model,fold,num_layers,hidden_dim,heads,lr,test_mse,test_mae,test_rmse,tolerance_acc,rounded_acc
GAT,0,2,16,1,0.001,0.20091672241687775,0.40820834040641785,0.4482373505375001,0.15267175436019897,0.2422267645597458
GAT,0,2,16,1,0.01,0.07905580848455429,0.22364529967308044,0.2811686477624315,0.23403462767601013,0.6875814199447632
GAT,0,2,16,2,0.001,0.08707486838102341,0.22954513132572174,0.29508451057455287,0.38763728737831116,0.5276484489440918
GAT,0,2,16,2,0.01,0.07877513021230698,0.22237750887870789,0.2806690759814964,0.22900763154029846,0.6864643096923828
GAT,0,2,16,3,0.001,0.07888884842395782,0.22223475575447083,0.2808715870713124,0.2552597224712372,0.6875814199447632
GAT,0,2,16,3,0.01,0.07894763350486755,0.2215125411748886,0.2809762151942181,0.2619623839855194,0.6875814199447632
GAT,0,2,32,1,0.001,0.07941631227731705,0.22170613706111908,0.2818089996386152,0.30459874868392944,0.6875814199447632
GAT,0,2,32,1,0.01,0.07897675037384033,0.22206196188926697,0.28102802417880024,0.2651275396347046,0.6875814199447632
GAT,0,2,32,2,0.001,0.07913557440042496,0.2221422791481018,0.2813104591024389,0.24241295456886292,0.6875814199447632
GAT,0,2,32,2,0.01,0.07885453850030899,0.22258296608924866,0.28081050283119574,0.22937999665737152,0.6875814199447632
GAT,0,2,32,3,0.001,0.07906930148601532,0.22208745777606964,0.2811926412373114,0.2351517379283905,0.6875814199447632
GAT,0,2,32,3,0.01,0.07891363650560379,0.22176100313663483,0.2809157106777828,0.2390616238117218,0.6875814199447632
GAT,0,2,64,1,0.001,0.07934342324733734,0.22269262373447418,0.28167964649107563,0.24334387481212616,0.6875814199447632
GAT,0,2,64,1,0.01,0.07886369526386261,0.2217932790517807,0.2808268065264828,0.22900763154029846,0.6866505146026611
GAT,0,2,64,2,0.001,0.0791066363453865,0.22270724177360535,0.2812590200249345,0.24892942607402802,0.6875814199447632
GAT,0,2,64,2,0.01,0.07872600853443146,0.22221176326274872,0.28058155415927016,0.22956618666648865,0.6873952746391296
GAT,0,2,64,3,0.001,0.07901695370674133,0.22258122265338898,0.2810995441240368,0.25172221660614014,0.6875814199447632
GAT,0,2,64,3,0.01,0.07871497422456741,0.2218221127986908,0.28056189018569044,0.23105566203594208,0.6859057545661926
GAT,0,3,16,1,0.001,0.07988088577985764,0.22133208811283112,0.28263206785475997,0.3371811509132385,0.6875814199447632
GAT,0,3,16,1,0.01,0.0787995457649231,0.22256112098693848,0.28071256787846727,0.23291751742362976,0.6875814199447632
GAT,0,3,16,2,0.001,0.08387156575918198,0.22310733795166016,0.28960588004939053,0.3991807699203491,0.5525972843170166
GAT,0,3,16,2,0.01,0.07896281033754349,0.22189505398273468,0.2810032212227175,0.25768011808395386,0.6875814199447632
GAT,0,3,16,3,0.001,0.0790497437119484,0.2232232540845871,0.28115786261804665,0.24762612581253052,0.6875814199447632
GAT,0,3,16,3,0.01,0.07888082414865494,0.2220878303050995,0.28085730211026194,0.22714577615261078,0.6875814199447632
GAT,0,3,32,1,0.001,0.07922311872243881,0.22371672093868256,0.28146601699395046,0.22304970026016235,0.6875814199447632
GAT,0,3,32,1,0.01,0.07872845977544785,0.22166308760643005,0.28058592226882634,0.23552410304546356,0.6859057545661926
GAT,0,3,32,2,0.001,0.07892002910375595,0.22279660403728485,0.28092708859018195,0.25097745656967163,0.6875814199447632
GAT,0,3,32,2,0.01,0.07890479266643524,0.22222472727298737,0.28089996914637644,0.23161421716213226,0.6872090697288513
GAT,0,3,32,3,0.001,0.079121433198452,0.2225392907857895,0.2812853234679193,0.25507354736328125,0.6875814199447632
GAT,0,3,32,3,0.01,0.078798808157444,0.22201809287071228,0.2807112540626827,0.23887543380260468,0.6873952746391296
GAT,0,3,64,1,0.001,0.0791332796216011,0.22253823280334473,0.28130638034285876,0.24930179119110107,0.6875814199447632
GAT,0,3,64,1,0.01,0.07889299094676971,0.22219572961330414,0.2808789613815348,0.2291938066482544,0.6875814199447632
GAT,0,3,64,2,0.001,0.07898472994565964,0.22251856327056885,0.28104222093069864,0.23347607254981995,0.6875814199447632
GAT,0,3,64,2,0.01,0.07882227748632431,0.2217932790517807,0.2807530542778196,0.22900763154029846,0.6875814199447632
GAT,0,3,64,3,0.001,0.0789080411195755,0.2224394679069519,0.28090575131096107,0.24017873406410217,0.6875814199447632
GAT,0,3,64,3,0.01,0.07869492471218109,0.22130358219146729,0.28052615691265065,0.23477935791015625,0.687022864818573
GAT,0,4,16,1,0.001,0.07951470464468002,0.22060538828372955,0.2819835183919089,0.3338298201560974,0.6872090697288513
GAT,0,4,16,1,0.01,0.0788828656077385,0.22213272750377655,0.2808609364218144,0.2278905212879181,0.6875814199447632
GAT,0,4,16,2,0.001,0.07937368005514145,0.22234448790550232,0.28173334920655285,0.2377583235502243,0.6875814199447632
GAT,0,4,16,2,0.01,0.07890703529119492,0.22202591598033905,0.28090396097455606,0.25637683272361755,0.6875814199447632
GAT,0,4,16,3,0.001,0.07905840128660202,0.22345662117004395,0.28117325848416314,0.2463228404521942,0.6875814199447632
GAT,0,4,16,3,0.01,0.07887446135282516,0.2223501205444336,0.2808459744287341,0.22751814126968384,0.6875814199447632
GAT,0,4,32,1,0.001,0.07905133068561554,0.22379444539546967,0.28116068481495693,0.2455780953168869,0.6875814199447632
GAT,0,4,32,1,0.01,0.07894830405712128,0.22317852079868317,0.28097740844616187,0.2318004071712494,0.6875814199447632
GAT,0,4,32,2,0.001,0.07894652336835861,0.2225738763809204,0.28097423968819385,0.24017873406410217,0.6875814199447632
GAT,0,4,32,2,0.01,0.07885181903839111,0.2221488058567047,0.2808056606238398,0.22975236177444458,0.6875814199447632
GAT,0,4,32,3,0.001,0.07899672538042068,0.22271938621997833,0.2810635611039266,0.237013578414917,0.6875814199447632
GAT,0,4,32,3,0.01,0.07864253968000412,0.22154539823532104,0.2804327721219546,0.2299385517835617,0.6846024990081787
GAT,0,4,64,1,0.001,0.07905455678701401,0.22277431190013885,0.2811664218697069,0.22937999665737152,0.6875814199447632
GAT,0,4,64,1,0.01,0.07879478484392166,0.22192764282226562,0.2807040876865203,0.22751814126968384,0.6866505146026611
GAT,0,4,64,2,0.001,0.07899869233369827,0.22306501865386963,0.2810670602075211,0.24781231582164764,0.6875814199447632
GAT,0,4,64,2,0.01,0.07887285947799683,0.22277621924877167,0.2808431225399633,0.22826288640499115,0.6875814199447632
GAT,0,4,64,3,0.001,0.07896900177001953,0.22279411554336548,0.28101423766424993,0.22882144153118134,0.6875814199447632
GAT,0,4,64,3,0.01,0.07882106304168701,0.2217334508895874,0.28075089143524906,0.2299385517835617,0.6875814199447632
GAT,1,2,16,1,0.001,0.1038384661078453,0.24372993409633636,0.32223976493885,0.4030906558036804,0.5043753385543823
GAT,1,2,16,1,0.01,0.07444429397583008,0.2176319658756256,0.27284481665560384,0.24576428532600403,0.7175572514533997
GAT,1,2,16,2,0.001,0.07616154104471207,0.2143845558166504,0.27597380499734403,0.36287468671798706,0.7175572514533997
GAT,1,2,16,2,0.01,0.07430242747068405,0.21756510436534882,0.2725847161355237,0.2435300648212433,0.7129026055335999
GAT,1,2,16,3,0.001,0.07463879883289337,0.21836139261722565,0.27320102275228286,0.2448333501815796,0.7175572514533997
GAT,1,2,16,3,0.01,0.07425827533006668,0.2171357423067093,0.27250371617661784,0.24241295456886292,0.7136473655700684
GAT,1,2,32,1,0.001,0.09211418777704239,0.22944091260433197,0.3035031923671354,0.40923476219177246,0.5149878859519958
GAT,1,2,32,1,0.01,0.07425405830144882,0.21730944514274597,0.2724959785050943,0.24204057455062866,0.7130888104438782
GAT,1,2,32,2,0.001,0.07428335398435593,0.21585282683372498,0.27254972754408674,0.287469744682312,0.7175572514533997
GAT,1,2,32,2,0.01,0.0742747113108635,0.21706262230873108,0.27253387185974426,0.2429715096950531,0.7114131450653076
GAT,1,2,32,3,0.001,0.07439379394054413,0.21795138716697693,0.27275225744353454,0.24837087094783783,0.7175572514533997
